biosample_id_namespace	biosample_local_id	disease
https://www.lincsproject.org/	CPC009_PC3_6H	DOID:2526
https://www.lincsproject.org/	CPC009_VCAP_24H	DOID:2526
https://www.lincsproject.org/	CPC009_VCAP_6H	DOID:2526
https://www.lincsproject.org/	CPC010_A375_6H	DOID:1909
https://www.lincsproject.org/	CPC010_A549_24H	DOID:1324
https://www.lincsproject.org/	CPC010_A549_6H	DOID:1324
https://www.lincsproject.org/	CPC010_HCC515_6H	DOID:1324
https://www.lincsproject.org/	CPC010_HEPG2_6H	DOID:305
https://www.lincsproject.org/	CPC010_HT29_6H	DOID:1520
https://www.lincsproject.org/	CPC010_MCF7_24H	DOID:3459
https://www.lincsproject.org/	CPC010_MCF7_6H	DOID:3459
https://www.lincsproject.org/	CPC010_PC3_24H	DOID:2526
https://www.lincsproject.org/	CPC010_PC3_6H	DOID:2526
https://www.lincsproject.org/	CPC010_VCAP_24H	DOID:2526
https://www.lincsproject.org/	CPC010_VCAP_6H	DOID:2526
https://www.lincsproject.org/	CPC011_A375_6H	DOID:1909
https://www.lincsproject.org/	CPC011_A549_24H	DOID:1324
https://www.lincsproject.org/	CPC011_A549_6H	DOID:1324
https://www.lincsproject.org/	CPC011_HT29_6H	DOID:1520
https://www.lincsproject.org/	CPC011_MCF7_24H	DOID:3459
https://www.lincsproject.org/	CPC011_MCF7_6H	DOID:3459
https://www.lincsproject.org/	CPC011_PC3_24H	DOID:2526
https://www.lincsproject.org/	CPC011_PC3_6H	DOID:2526
https://www.lincsproject.org/	CPC011_VCAP_24H	DOID:2526
https://www.lincsproject.org/	CPC011_VCAP_6H	DOID:2526
https://www.lincsproject.org/	CPC012_A375_6H	DOID:1909
https://www.lincsproject.org/	CPC012_A549_24H	DOID:1324
https://www.lincsproject.org/	CPC012_A549_6H	DOID:1324
https://www.lincsproject.org/	CPC012_HCC515_6H	DOID:1324
https://www.lincsproject.org/	CPC012_HT29_6H	DOID:1520
https://www.lincsproject.org/	CPC012_MCF7_24H	DOID:3459
https://www.lincsproject.org/	CPC012_MCF7_6H	DOID:3459
https://www.lincsproject.org/	CPC012_PC3_24H	DOID:2526
https://www.lincsproject.org/	CPC012_PC3_6H	DOID:2526
https://www.lincsproject.org/	CPC012_VCAP_24H	DOID:2526
https://www.lincsproject.org/	CPC012_VCAP_6H	DOID:2526
https://www.lincsproject.org/	CPC013_A375_6H	DOID:1909
https://www.lincsproject.org/	CPC013_A549_24H	DOID:1324
https://www.lincsproject.org/	CPC013_A549_6H	DOID:1324
https://www.lincsproject.org/	CPC013_HCC515_6H	DOID:1324
https://www.lincsproject.org/	CPC013_HEPG2_6H	DOID:305
https://www.lincsproject.org/	CPC013_HT29_6H	DOID:1520
https://www.lincsproject.org/	CPC013_MCF7_24H	DOID:3459
https://www.lincsproject.org/	CPC013_MCF7_6H	DOID:3459
https://www.lincsproject.org/	CPC013_PC3_24H	DOID:2526
https://www.lincsproject.org/	CPC013_PC3_6H	DOID:2526
https://www.lincsproject.org/	CPC013_VCAP_24H	DOID:2526
https://www.lincsproject.org/	CPC013_VCAP_6H	DOID:2526
https://www.lincsproject.org/	CPC014_A375_6H	DOID:1909
https://www.lincsproject.org/	CPC014_A549_24H	DOID:1324
https://www.lincsproject.org/	CPC014_A549_6H	DOID:1324
https://www.lincsproject.org/	CPC014_HCC515_6H	DOID:1324
https://www.lincsproject.org/	CPC014_HEPG2_6H	DOID:305
https://www.lincsproject.org/	CPC014_HT29_6H	DOID:1520
https://www.lincsproject.org/	CPC014_MCF7_24H	DOID:3459
https://www.lincsproject.org/	CPC014_MCF7_6H	DOID:3459
https://www.lincsproject.org/	CPC014_PC3_24H	DOID:2526
https://www.lincsproject.org/	CPC014_PC3_6H	DOID:2526
https://www.lincsproject.org/	CPC014_VCAP_24H	DOID:2526
https://www.lincsproject.org/	CPC014_VCAP_6H	DOID:2526
https://www.lincsproject.org/	CPC015_A375_6H	DOID:1909
https://www.lincsproject.org/	CPC015_A549_24H	DOID:1324
https://www.lincsproject.org/	CPC015_A549_6H	DOID:1324
https://www.lincsproject.org/	CPC015_HEPG2_6H	DOID:305
https://www.lincsproject.org/	CPC015_HT29_6H	DOID:1520
https://www.lincsproject.org/	CPC015_MCF7_24H	DOID:3459
https://www.lincsproject.org/	CPC015_MCF7_6H	DOID:3459
https://www.lincsproject.org/	CPC016_A375_6H	DOID:1909
https://www.lincsproject.org/	CPC016_A549_24H	DOID:1324
https://www.lincsproject.org/	CPC016_A549_6H	DOID:1324
https://www.lincsproject.org/	CPC016_HEPG2_6H	DOID:305
https://www.lincsproject.org/	CPC016_HT29_6H	DOID:1520
https://www.lincsproject.org/	CPC016_MCF7_24H	DOID:3459
https://www.lincsproject.org/	CPC016_MCF7_6H	DOID:3459
https://www.lincsproject.org/	CPC017_A375_6H	DOID:1909
https://www.lincsproject.org/	CPC017_A549_24H	DOID:1324
https://www.lincsproject.org/	CPC017_A549_6H	DOID:1324
https://www.lincsproject.org/	CPC017_HEPG2_6H	DOID:305
