collection_id_namespace	collection_local_id	project_id_namespace	project_local_id
https://www.lincsproject.org/	LDG-1332	https://www.lincsproject.org/	LINCS phase 2
https://www.lincsproject.org/	LDG-1333	https://www.lincsproject.org/	LINCS phase 2
https://www.lincsproject.org/	LDG-1400	https://www.lincsproject.org/	LINCS MCF10A project
https://www.lincsproject.org/	LDG-1390	https://www.lincsproject.org/	LINCS phase 2
https://www.lincsproject.org/	LDG-1138	https://www.lincsproject.org/	LINCS phase 1
https://www.lincsproject.org/	LDG-1438	https://www.lincsproject.org/	LINCS phase 2
https://www.lincsproject.org/	LDG-1439	https://www.lincsproject.org/	LINCS phase 2
https://www.lincsproject.org/	LDG-1440	https://www.lincsproject.org/	LINCS phase 2
https://www.lincsproject.org/	LDG-1441	https://www.lincsproject.org/	LINCS phase 2
https://www.lincsproject.org/	LDG-1171	https://www.lincsproject.org/	LINCS phase 1
https://www.lincsproject.org/	LDG-1322	https://www.lincsproject.org/	LINCS phase 2
https://www.lincsproject.org/	LDG-1323	https://www.lincsproject.org/	LINCS phase 2
https://www.lincsproject.org/	LDG-1324	https://www.lincsproject.org/	LINCS phase 2
https://www.lincsproject.org/	LDG-1392	https://www.lincsproject.org/	LINCS phase 2
https://www.lincsproject.org/	LDG-1284	https://www.lincsproject.org/	LINCS phase 2
https://www.lincsproject.org/	LDG-1283	https://www.lincsproject.org/	LINCS MCF10A project
https://www.lincsproject.org/	LDG-1159	https://www.lincsproject.org/	LINCS phase 1
https://www.lincsproject.org/	LDG-1043	https://www.lincsproject.org/	LINCS phase 1
https://www.lincsproject.org/	LDG-1130	https://www.lincsproject.org/	LINCS phase 1
https://www.lincsproject.org/	LDG-1288	https://www.lincsproject.org/	LINCS phase 2
https://www.lincsproject.org/	LDG-1154	https://www.lincsproject.org/	LINCS phase 1
https://www.lincsproject.org/	LDG-1168	https://www.lincsproject.org/	LINCS phase 1
https://www.lincsproject.org/	LDG-1172	https://www.lincsproject.org/	LINCS phase 1
https://www.lincsproject.org/	LDG-1147	https://www.lincsproject.org/	LINCS phase 1
https://www.lincsproject.org/	LDG-1068	https://www.lincsproject.org/	LINCS phase 1
https://www.lincsproject.org/	LDG-1067	https://www.lincsproject.org/	LINCS phase 1
https://www.lincsproject.org/	LDG-1015	https://www.lincsproject.org/	LINCS phase 1
https://www.lincsproject.org/	LDG-1016	https://www.lincsproject.org/	LINCS phase 1
https://www.lincsproject.org/	LDG-1007	https://www.lincsproject.org/	LINCS phase 1
https://www.lincsproject.org/	LDG-1071	https://www.lincsproject.org/	LINCS phase 1
https://www.lincsproject.org/	LDG-1017	https://www.lincsproject.org/	LINCS phase 1
https://www.lincsproject.org/	LDG-1139	https://www.lincsproject.org/	LINCS phase 1
https://www.lincsproject.org/	LDG-1334	https://www.lincsproject.org/	LINCS phase 2
https://www.lincsproject.org/	LDG-1335	https://www.lincsproject.org/	LINCS phase 2
https://www.lincsproject.org/	LDG-1336	https://www.lincsproject.org/	LINCS phase 2
https://www.lincsproject.org/	LDG-1337	https://www.lincsproject.org/	LINCS phase 2
https://www.lincsproject.org/	LDG-1325	https://www.lincsproject.org/	LINCS phase 2
https://www.lincsproject.org/	LDG-1326	https://www.lincsproject.org/	LINCS phase 2
https://www.lincsproject.org/	LDG-1327	https://www.lincsproject.org/	LINCS phase 2
https://www.lincsproject.org/	LDG-1304	https://www.lincsproject.org/	LINCS phase 2
https://www.lincsproject.org/	LDG-1305	https://www.lincsproject.org/	LINCS phase 2
https://www.lincsproject.org/	LDG-1302	https://www.lincsproject.org/	LINCS phase 2
https://www.lincsproject.org/	LDG-1303	https://www.lincsproject.org/	LINCS phase 2
https://www.lincsproject.org/	LDG-1117	https://www.lincsproject.org/	LINCS phase 1
https://www.lincsproject.org/	LDG-1116	https://www.lincsproject.org/	LINCS phase 1
https://www.lincsproject.org/	LDG-1034	https://www.lincsproject.org/	LINCS phase 1
https://www.lincsproject.org/	LDG-1035	https://www.lincsproject.org/	LINCS phase 1
https://www.lincsproject.org/	LDG-1076	https://www.lincsproject.org/	LINCS phase 1
https://www.lincsproject.org/	LDG-1006	https://www.lincsproject.org/	LINCS phase 1
https://www.lincsproject.org/	LDG-1115	https://www.lincsproject.org/	LINCS phase 1
https://www.lincsproject.org/	LDG-1036	https://www.lincsproject.org/	LINCS phase 1
https://www.lincsproject.org/	LDG-1173	https://www.lincsproject.org/	LINCS phase 1
https://www.lincsproject.org/	LDG-1240	https://www.lincsproject.org/	LINCS phase 2
https://www.lincsproject.org/	LDG-1236	https://www.lincsproject.org/	LINCS phase 2
https://www.lincsproject.org/	LDG-1301	https://www.lincsproject.org/	LINCS phase 2
https://www.lincsproject.org/	LDG-1328	https://www.lincsproject.org/	LINCS phase 2
https://www.lincsproject.org/	LDG-1329	https://www.lincsproject.org/	LINCS phase 2
https://www.lincsproject.org/	LDG-1330	https://www.lincsproject.org/	LINCS phase 2
https://www.lincsproject.org/	LDG-1151	https://www.lincsproject.org/	LINCS phase 1
https://www.lincsproject.org/	LDG-1207	https://www.lincsproject.org/	LINCS phase 2
https://www.lincsproject.org/	LDG-1295	https://www.lincsproject.org/	LINCS phase 2
https://www.lincsproject.org/	LDG-1176	https://www.lincsproject.org/	LINCS phase 1
https://www.lincsproject.org/	LDG-1031	https://www.lincsproject.org/	LINCS phase 1
https://www.lincsproject.org/	LDG-1388	https://www.lincsproject.org/	LINCS phase 2
https://www.lincsproject.org/	LDG-1064	https://www.lincsproject.org/	LINCS phase 1
https://www.lincsproject.org/	LDG-1293	https://www.lincsproject.org/	LINCS phase 2
https://www.lincsproject.org/	LDG-1294	https://www.lincsproject.org/	LINCS phase 2
https://www.lincsproject.org/	LDG-1091	https://www.lincsproject.org/	LINCS phase 1
