id	name	description	synonyms	compound
104170560	BRD-K42576592-001-01-6		["BRD-K42576592-001-01-6"]	49843290
104170561	BRD-K59002219-001-01-6		["BRD-K59002219-001-01-6"]	46903889
104170562	BRD-K30933750-001-01-1		["BRD-K30933750-001-01-1"]	49843267
104170588	BRD-K54123736-001-01-9		["BRD-K54123736-001-01-9"]	49842957
104170593	BRD-K59201357-001-01-6		["BRD-K59201357-001-01-6"]	49843270
104170596	BRD-K72173400-001-01-7		["BRD-K72173400-001-01-7"]	49843303
104170601	BRD-K49148914-001-01-8		["BRD-K49148914-001-01-8"]	49843297
104170614	BRD-K53548389-001-01-8		["BRD-K53548389-001-01-8"]	49843017
104170627	BRD-1804		["BRD-1804", "BRD-K99581804-001-02-0", "BRD1804"]	49843158
104170644	BRD-K83553001-001-01-0		["BRD-K83553001-001-01-0"]	49843288
104170649	BRD-K91120514-001-01-8		["BRD-K91120514-001-01-8"]	49843157
104170651	BRD-K33939287-001-01-7		["BRD-K33939287-001-01-7"]	49843059
104170655	BRD-K12285126-001-01-5		["BRD-K12285126-001-01-5"]	49843260
104170661	BRD-K42303783-001-01-4		["BRD-K42303783-001-01-4"]	49843387
104170670	BRD-K94855649-001-01-4		["BRD-K94855649-001-01-4"]	49843060
104170671	BRD-K72754669-001-01-0		["BRD-K72754669-001-01-0"]	49843309
104170676	BRD-K54839019-001-01-8		["BRD-K54839019-001-01-8"]	49843112
104170683	BRD-K80298486-001-01-9		["BRD-K80298486-001-01-9"]	49843252
104170684	BRD-K83541009-001-01-7		["BRD-K83541009-001-01-7"]	49843306
104170710	BRD-3351		["BRD-3351", "BRD-K48703351-001-04-5", "BRD3351"]	49843144
104170718	BRD-6802		["BRD-6802", "BRD-K40956802-001-04-2", "BRD6802"]	44497649
104170719	BRD-0810		["BRD-0810", "BRD-K99380810-001-04-5", "BRD0810"]	44498186
104170723	BRD-0229		["BRD-0229", "BRD-K57200229-001-04-0", "BRD0229"]	44497312
104170727	BRD-K71420819-001-01-8		["BRD-K71420819-001-01-8"]	49843174
104170739	BRD-K72687327-001-01-6		["BRD-K72687327-001-01-6"]	49843433
104170740	BRD-K49751344-001-01-9		["BRD-K49751344-001-01-9"]	49843380
104170742	BRD-K01497355-001-01-1		["BRD-K01497355-001-01-1"]	49843384
104170745	BRD-K07110772-001-01-9		["BRD-K07110772-001-01-9"]	49843139
104170753	BRD-K80643530-001-01-2		["BRD-K80643530-001-01-2"]	49843332
104170758	BRD-K38733341-001-01-3		["BRD-K38733341-001-01-3"]	49843436
104170770	BRD-K73601942-001-01-1		["BRD-K73601942-001-01-1"]	49842952
104170775	BRD-K74127463-001-01-5		["BRD-K74127463-001-01-5"]	49843150
104170776	BRD-K79855662-001-01-5		["BRD-K79855662-001-01-5"]	49842961
104170778	BRD-K13217265-001-01-8		["BRD-K13217265-001-01-8"]	49843441
104170782	BRD-K37658621-001-01-4		["BRD-K37658621-001-01-4"]	49843216
104170790	BRD-K34573818-001-01-1		["BRD-K34573818-001-01-1"]	49843183
104170795	BRD-K49384706-001-01-1		["BRD-K49384706-001-01-1"]	49843045
104170796	BRD-K12189280-001-01-1		["BRD-K12189280-001-01-1"]	49842975
104170799	BRD-K59335919-001-01-3		["BRD-K59335919-001-01-3"]	49842946
104170802	BRD-K79568363-001-01-6		["BRD-K79568363-001-01-6"]	49843300
104170807	BRD-K35193330-001-01-6		["BRD-K35193330-001-01-6"]	49843401
104170812	BRD-K63263229-001-01-6		["BRD-K63263229-001-01-6"]	49842947
104170817	BRD-K83477969-001-01-2		["BRD-K83477969-001-01-2"]	49843354
104170826	BRD-K96076719-001-01-0		["BRD-K96076719-001-01-0"]	49842959
104170833	BRD-K02290471-001-01-8		["BRD-K02290471-001-01-8"]	49843312
104170860	BRD-K69984954-001-01-2		["BRD-K69984954-001-01-2"]	49843188
104170862	BRD-K98064019-001-01-1		["BRD-K98064019-001-01-1"]	49843374
104170867	BRD-K54517303-001-01-5		["BRD-K54517303-001-01-5"]	49843099
104179261	BRD-K32582686-001-02-1		["BRD-K32582686-001-02-1"]	44488207
104179262	BRD-K91034707-001-02-6		["BRD-K91034707-001-02-6"]	44487502
104179730	BRD-1640		["BRD-1640", "BRD-K73371640-001-02-4", "BRD1640"]	46925839
104179733	BRD-9619		["BRD-9619", "BRD-K34639619-001-02-9", "BRD9619"]	44618423
104179734	BRD-0904		["BRD-0904", "BRD-K98630904-001-02-5", "BRD0904"]	49842983
104179737	BRD-K23897615-001-01-2		["BRD-K23897615-001-01-2"]	49850031
104179742	BRD-K18173053-001-01-4		["BRD-K18173053-001-01-4"]	49850028
104179748	BRD-K90133009-001-01-4		["BRD-K90133009-001-01-4"]	49850033
104179757	BRD-K85271599-001-01-5		["BRD-K85271599-001-01-5"]	49850036
104179760	BRD-K34197007-001-01-0		["BRD-K34197007-001-01-0"]	49850002
104179761	BRD-7054		["BRD-7054", "BRD-K95517054-001-02-5", "BRD7054"]	46925828
104179765	BRD-K48478472-001-01-4		["BRD-K48478472-001-01-4"]	49850016
104179773	BRD-K45718236-001-01-3		["BRD-K45718236-001-01-3"]	49850009
104179784	BRD-K21642343-001-01-3		["BRD-K21642343-001-01-3"]	49849996
104179789	BRD-K42394957-001-01-3		["BRD-K42394957-001-01-3"]	49850011
104179792	BRD-K14324645-001-02-0		["BRD-K14324645-001-02-0", "MLS003271341, ML212"]	49835877
104543588	BRD-5421		["BRD-5421", "BRD-A36275421-001-15-2", "BRD5421"]	3689413
110167733	BRD-K03857568-001-10-8		["BRD-K03857568-001-10-8"]	776319
110167734	BRD-K08463963-001-10-1		["BRD-K08463963-001-10-1"]	800048
110167735	BRD-K39580048-001-03-9		["BRD-K39580048-001-03-9"]	2785467
110167736	BRD-7378		["BRD-7378", "BRD-K78867378-001-08-1", "BRD7378"]	701939
110167737	BRD-K91349888-001-03-7		["BRD-K91349888-001-03-7"]	800654
112378962	BRD-K37127624-001-05-8		["BRD-K37127624-001-05-8"]	7708820
112378963	BRD-K40151202-001-03-8		["BRD-K40151202-001-03-8"]	1507946
112378964	BRD-K53923665-001-02-6		["BRD-K53923665-001-02-6"]	17581348
112378965	BRD-K67778494-001-07-4		["BRD-K67778494-001-07-4", "MLS003390980, ML229"]	7694069
112378966	BRD-K76132250-001-02-8		["BRD-K76132250-001-02-8"]	17581618
112378967	BRD-K76357752-001-05-7		["BRD-K76357752-001-05-7"]	7693333
113585208	BRD-K05563014-001-03-5		["BRD-K05563014-001-03-5"]	49843020
113585209	BRD-K06180729-001-02-5		["BRD-K06180729-001-02-5"]	49849932
113585212	BRD-K91442916-001-02-8		["BRD-K91442916-001-02-8"]	49849931
113585213	BRD-K95212245-001-02-3		["BRD-K95212245-001-02-3"]	49849909
113635283	BRD-K32112425-001-02-3		["BRD-K32112425-001-02-3"]	49835842
113635284	BRD-K37150847-001-07-7		["BRD-K37150847-001-07-7"]	3243873
113635285	BRD-K67484673-001-02-3		["BRD-K67484673-001-02-3"]	100493
113635286	BRD-K71142328-001-02-0		["BRD-K71142328-001-02-0"]	49835836
113635287	BRD-K98546361-001-02-9		["BRD-K98546361-001-02-9"]	49835857
114279606	BRD-A32595718-001-03-5		["BRD-A32595718-001-03-5"]	135821878
114279607	BRD-K01121114-001-03-5		["BRD-K01121114-001-03-5", "ML239", "MLS003442353"]	135999136
114279608	BRD-K01712134-001-02-9		["BRD-K01712134-001-02-9"]	135560153
114279609	BRD-K33720404-001-02-7		["BRD-K33720404-001-02-7"]	135688221
114279610	BRD-K70891562-001-05-1		["BRD-K70891562-001-05-1"]	135549936
114279611	BRD-K92817986-001-02-5		["BRD-K92817986-001-02-5"]	135976680
115950033	BRD-A38479395-001-01-0		["BRD-A38479395-001-01-0"]	4984
115950072	BRD-K84874839-001-06-6		["BRD-K84874839-001-06-6"]	20969756
115950074	BRD-K82230692-001-06-9		["BRD-K82230692-001-06-9"]	2741632
115950078	BRD-K74840245-001-05-9		["BRD-K74840245-001-05-9"]	973303
115950079	BRD-A22514244-001-05-6		["BRD-A22514244-001-05-6"]	650573
115950080	BRD-K45895591-001-05-9		["BRD-K45895591-001-05-9"]	9550235
117687957	BRD-A83124583-003-01-4		["BRD-A83124583-003-01-4"]	51003694
117687959	BRD-A93393712-001-01-1		["BRD-A93393712-001-01-1"]	51003685
117687963	BRD-A49848186-003-01-2		["BRD-A49848186-003-01-2"]	51003698
117687964	BRD-A50774520-001-01-5		["BRD-A50774520-001-01-5"]	51003716
117687965	BRD-A25088322-001-01-2		["BRD-A25088322-001-01-2"]	51003695
117687969	BRD-A06929388-001-01-1		["BRD-A06929388-001-01-1"]	51003717
117687970	BRD-A25337146-003-07-0		["BRD-A25337146-003-07-0"]	3816756
117687971	BRD-A59145032-003-01-6		["BRD-A59145032-003-01-6"]	51003718
121269739	BRD-K39687892-001-06-2		["BRD-K39687892-001-06-2"]	710962
121269745	BRD-K87777569-001-01-5		["BRD-K87777569-001-01-5"]	51351631
121269778	BRD-K01473791-001-06-3		["BRD-K01473791-001-06-3"]	1486
121269786	BRD-A00420644-001-07-4		["BRD-A00420644-001-07-4"]	2853908
121269790	BRD-K85660637-001-03-9		["BRD-K85660637-001-03-9"]	6884367
121269799	BRD-K95986273-001-01-9		["BRD-K95986273-001-01-9"]	9616928
121269800	BRD-A68061604-001-01-6		["BRD-A68061604-001-01-6"]	3044812
121269802	BRD-K92856060-001-05-5		["BRD-K92856060-001-05-5"]	2945648
121269812	BRD-K03600170-001-08-6		["BRD-K03600170-001-08-6"]	5286239
121269813	BRD-K27688565-001-05-2		["BRD-K27688565-001-05-2"]	3763775
121269814	BRD-A98349433-001-06-5		["BRD-A98349433-001-06-5"]	1189521
121635044	BRD-K18580829-001-02-1		["BRD-K18580829-001-02-1", "MLS003587250"]	47099517
121635045	BRD-K50289629-001-06-1		["BRD-K50289629-001-06-1", "MLS003587252"]	896331
121635046	BRD-K51320264-001-06-3		["BRD-K51320264-001-06-3", "MLS003587251"]	5416418
121635047	BRD-K60772276-001-02-9		["BRD-K60772276-001-02-9", "MLS003587249"]	49843106
121635048	BRD-K69181860-001-02-6		["BRD-K69181860-001-02-6", "ML243", "MLS003587254"]	50910523
121635049	BRD-K71554540-001-05-1		["BRD-K71554540-001-05-1", "MLS003587253"]	897475
124360022	BRD-K16234721-001-02-6		["BRD-K16234721-001-02-6"]	51003702
124360048	BRD-K04466929-001-01-0		["BRD-K04466929-001-01-0"]	6918878
124360097	BRD-A69421747-001-01-9		["BRD-A69421747-001-01-9"]	46916182
124360106	BRD-K99146421-001-01-7		["BRD-K99146421-001-01-7"]	46916179
124360110	BRD-K90446130-001-01-2		["BRD-K90446130-001-01-2"]	44968186
124360114	BRD-K22449070-001-01-1		["BRD-K22449070-001-01-1"]	46916170
124360120	BRD-K75784474-001-01-9		["BRD-K75784474-001-01-9"]	44968206
124360125	BRD-K74980345-001-01-1		["BRD-K74980345-001-01-1"]	44968219
124360130	BRD-K58999277-001-01-3		["BRD-K58999277-001-01-3"]	44223965
124360140	BRD-K68783079-001-01-9		["BRD-K68783079-001-01-9"]	44223952
124360141	BRD-K07668032-001-06-1		["BRD-K07668032-001-06-1"]	3234850
124360142	BRD-K70693222-001-06-1		["BRD-K70693222-001-06-1"]	3232621
124360144	BRD-A96746500-001-01-3		["BRD-A96746500-001-01-3"]	44223955
124360146	BRD-K86905031-001-01-3		["BRD-K86905031-001-01-3"]	44223974
124360150	BRD-K44978960-001-05-7		["BRD-K44978960-001-05-7"]	3233012
124360151	BRD-K88269385-001-04-8		["BRD-K88269385-001-04-8"]	44142059
124360152	BRD-K59222562-001-01-3		["BRD-K59222562-001-01-3"]	44223973
124360153	BRD-K17025677-001-01-3		["BRD-K17025677-001-01-3"]	44968224
124360162	BRD-K06217810-001-01-7		["BRD-K06217810-001-01-7"]	44223970
124360163	BRD-K92107474-001-01-2		["BRD-K92107474-001-01-2"]	44968227
124360171	BRD-K74155249-001-02-5		["BRD-K74155249-001-02-5"]	44495181
124360175	BRD-K56411643-001-02-6		["BRD-K56411643-001-02-6"]	40911229
124360239	BRD-K38324426-001-06-8		["BRD-K38324426-001-06-8"]	260972
124360240	BRD-A61666925-001-06-0		["BRD-A61666925-001-06-0"]	2951172
124360241	BRD-A93893742-001-09-7		["BRD-A93893742-001-09-7"]	2203170
124360242	BRD-A02198599-001-08-7		["BRD-A02198599-001-08-7"]	4898145
124360243	BRD-A80788753-001-02-5		["BRD-A80788753-001-02-5"]	23606608
124360245	BRD-K49181186-001-06-9		["BRD-K49181186-001-06-9"]	3550807
124360246	BRD-K02421873-001-06-2		["BRD-K02421873-001-06-2"]	2630179
124360248	BRD-A26595446-001-10-7		["BRD-A26595446-001-10-7"]	4484064
124360259	BRD-K81592585-001-03-0		["BRD-K81592585-001-03-0"]	44483977
124360264	BRD-K03073752-001-02-5		["BRD-K03073752-001-02-5"]	53245456
124360266	BRD-K03763695-001-01-3		["BRD-K03763695-001-01-3"]	53245449
124360267	BRD-K18964980-001-01-4		["BRD-K18964980-001-01-4"]	53245442
124360276	BRD-A47832959-001-08-2		["BRD-A47832959-001-08-2"]	3913264
124360277	BRD-A71707563-001-09-1		["BRD-A71707563-001-09-1"]	3136845
124360278	BRD-K00289828-001-07-9		["BRD-K00289828-001-07-9"]	855567
124360279	BRD-K10833576-001-06-8		["BRD-K10833576-001-06-8"]	3245746
124360280	BRD-K98856658-001-07-3		["BRD-K98856658-001-07-3"]	3223669
124360281	BRD-K56555032-001-07-8		["BRD-K56555032-001-07-8"]	986349
124360286	BRD-A71339955-001-07-3		["BRD-A71339955-001-07-3"]	4624993
124360287	BRD-K91517665-001-07-9		["BRD-K91517665-001-07-9"]	1017704
124360288	BRD-K75308990-001-08-7		["BRD-K75308990-001-08-7"]	20876331
124360289	BRD-K23978082-001-07-1		["BRD-K23978082-001-07-1"]	3232217
124360290	BRD-K50297939-001-06-9		["BRD-K50297939-001-06-9"]	44143772
124360291	BRD-K20112532-001-07-6		["BRD-K20112532-001-07-6"]	790989
124360292	BRD-K11072542-001-08-9		["BRD-K11072542-001-08-9"]	2016258
124360293	BRD-A70311631-001-07-5		["BRD-A70311631-001-07-5"]	24820091
124360294	BRD-A54077041-001-07-6		["BRD-A54077041-001-07-6"]	4003359
124360295	BRD-A31429689-001-07-4		["BRD-A31429689-001-07-4"]	2998821
124360296	BRD-K50234570-001-11-6		["BRD-K50234570-001-11-6"]	4183496
124360297	BRD-A87455648-001-07-2		["BRD-A87455648-001-07-2"]	3157053
124360298	BRD-K94987138-001-08-8		["BRD-K94987138-001-08-8"]	6401129
124384997	BRD-K96076993-001-07-4		["BRD-K96076993-001-07-4"]	5337366
124404432	BRD-K39514895-001-08-1		["BRD-K39514895-001-08-1"]	4791237
124404433	BRD-K24240386-001-02-9		["BRD-K24240386-001-02-9"]	9214159
124404434	BRD-K65643278-001-03-3		["BRD-K65643278-001-03-3"]	50904149
124404435	BRD-K59019422-001-03-9		["BRD-K59019422-001-03-9", "ML245", "MLS003672589"]	50904134
124404436	BRD-K31780183-001-02-0		["BRD-K31780183-001-02-0"]	50904129
125081958	BRD-K38340366-001-12-4		["BRD-K38340366-001-12-4", "ML280", "MLS003876590"]	135547290
125081982	BRD-K05922103-001-01-9		["BRD-K05922103-001-01-9"]	53347979
125081987	BRD-K68252161-001-05-5		["BRD-K68252161-001-05-5"]	262953
125082056	BRD-K95402279-001-02-9		["BRD-K95402279-001-02-9"]	5281365
125082057	BRD-K59304176-001-03-3		["BRD-K59304176-001-03-3"]	3501
125082063	BRD-A25852694-001-05-2		["BRD-A25852694-001-05-2"]	660886
125258607	BRD-K15166186-001-02-9		["BRD-K15166186-001-02-9"]	49766549
125258609	BRD-K50505048-001-03-0		["BRD-K50505048-001-03-0"]	49766538
125258610	BRD-K93060291-001-02-1		["BRD-K93060291-001-02-1"]	49766518
125299376	BRD-8942		["BRD-8942", "BRD-K48188942-001-01-1", "BRD8942"]	53377448
125299379	BRD-K66645150-001-01-4		["BRD-K66645150-001-01-4"]	53377419
125299389	BRD-K41717398-001-09-6		["BRD-K41717398-001-09-6"]	135418651
125299391	BRD-K46625679-001-01-3		["BRD-K46625679-001-01-3"]	136015351
125299395	BRD-K69885235-001-01-2		["BRD-K69885235-001-01-2"]	135401109
125333446	BRD-K10405667-001-07-3		["BRD-K10405667-001-07-3"]	24761960
126522606	BRD-K68535470-001-07-5		["BRD-K68535470-001-07-5"]	870371
126522608	BRD-K50946180-001-09-1		["BRD-K50946180-001-09-1"]	2998537
126522614	BRD-K84102257-001-08-1		["BRD-K84102257-001-08-1"]	28761
126522631	BRD-K32656671-001-07-9		["BRD-K32656671-001-07-9"]	22416235
126522642	BRD-K54070802-001-12-8		["BRD-K54070802-001-12-8"]	4089709
126700837	BRD-K83634925-001-02-9		["BRD-K83634925-001-02-9", "ML278", "MLS003875060"]	53377439
126700838	BRD-K92916754-001-03-3		["BRD-K92916754-001-03-3", "ML279", "MLS003875059"]	53393835
126722792	BRD-K95985487-001-02-1		["BRD-K95985487-001-02-1"]	53347976
131404620	BRD-K63350243-001-01-3		["BRD-K63350243-001-01-3"]	2989846
131404622	BRD-6637		["BRD-6637", "BRD-K95606637-001-04-8", "BRD6637"]	3380841
131404623	BRD-A03764094-001-12-7		["BRD-A03764094-001-12-7"]	645210
131404633	BRD-A25416824-001-02-6		["BRD-A25416824-001-02-6"]	2825553
131404640	BRD-4354		["BRD-4354", "BRD-A24054354-001-05-7", "BRD4354"]	3516032
131404649	BRD-K35669573-001-02-9		["BRD-K35669573-001-02-9"]	54596143
131404652	BRD-K09085930-001-02-8		["BRD-K09085930-001-02-8"]	22121918
131404653	BRD-K58466974-001-01-9		["BRD-K58466974-001-01-9"]	54596134
131404654	BRD-K12683773-300-02-1		["BRD-K12683773-300-02-1"]	9951687
131404655	BRD-K22828899-001-01-5		["BRD-K22828899-001-01-5"]	53245473
131404700	BRD-A89471977-001-05-2		["BRD-A89471977-001-05-2"]	8343
131404714	BRD-K18571495-001-01-5		["BRD-K18571495-001-01-5"]	54596123
131404724	BRD-K15912020-001-01-8		["BRD-K15912020-001-01-8"]	54596125
131404726	BRD-K91892860-001-01-2		["BRD-K91892860-001-01-2"]	54596130
131404728	BRD-K93200353-001-01-0		["BRD-K93200353-001-01-0"]	54596118
131404730	BRD-K09290524-001-01-8		["BRD-K09290524-001-01-8"]	54596120
131404732	BRD-K14096157-001-01-6		["BRD-K14096157-001-01-6"]	54596141
131404734	BRD-K81365479-001-01-4		["BRD-K81365479-001-01-4"]	54596116
131404739	BRD-K04643052-001-01-3		["BRD-K04643052-001-01-3"]	54596142
131408741	BRD-K81131499-001-01-6		["BRD-K81131499-001-01-6"]	54613787
131408742	BRD-K89660028-001-01-6		["BRD-K89660028-001-01-6"]	54613788
131408743	BRD-K50191826-001-01-1		["BRD-K50191826-001-01-1"]	54613789
131408744	BRD-K53647637-001-01-8		["BRD-K53647637-001-01-8"]	54613790
131408745	BRD-K13873561-001-01-9		["BRD-K13873561-001-01-9"]	54613791
131408746	BRD-K39672303-001-01-8		["BRD-K39672303-001-01-8"]	54613792
131408747	BRD-K73635724-001-01-3		["BRD-K73635724-001-01-3"]	54613793
131408748	BRD-K21167361-001-01-8		["BRD-K21167361-001-01-8"]	54613794
131408749	BRD-K88812218-001-01-4		["BRD-K88812218-001-01-4"]	54613795
131408750	BRD-K59670689-001-01-1		["BRD-K59670689-001-01-1"]	54613796
131408751	BRD-K78639526-001-01-0		["BRD-K78639526-001-01-0"]	54613797
131408752	BRD-K41809257-001-01-8		["BRD-K41809257-001-01-8"]	54613798
131408753	BRD-K88936403-001-01-6		["BRD-K88936403-001-01-6"]	54613799
131408754	BRD-K42653521-001-01-9		["BRD-K42653521-001-01-9"]	54613800
131408755	BRD-K69903018-001-01-6		["BRD-K69903018-001-01-6"]	54613801
131408756	BRD-K28317853-001-01-7		["BRD-K28317853-001-01-7"]	54613802
131408757	BRD-K94876980-001-01-7		["BRD-K94876980-001-01-7"]	54613803
131408758	BRD-K47999752-001-01-1		["BRD-K47999752-001-01-1"]	54613804
131408759	BRD-K36347292-001-01-3		["BRD-K36347292-001-01-3"]	54613805
131408760	BRD-K12440228-001-01-3		["BRD-K12440228-001-01-3"]	54613806
131408761	BRD-K02602127-001-01-2		["BRD-K02602127-001-01-2"]	54613807
131408762	BRD-K30533903-001-01-5		["BRD-K30533903-001-01-5"]	54613808
131408763	BRD-K20373726-001-01-3		["BRD-K20373726-001-01-3"]	54613809
131408764	BRD-K57200567-001-01-6		["BRD-K57200567-001-01-6"]	54613810
131408765	BRD-K42828928-001-01-6		["BRD-K42828928-001-01-6"]	54613811
131408766	BRD-K11705648-001-01-2		["BRD-K11705648-001-01-2"]	54613812
131408767	BRD-K18984088-001-01-3		["BRD-K18984088-001-01-3"]	54613813
131408768	BRD-K67522096-001-01-1		["BRD-K67522096-001-01-1"]	54613814
131408769	BRD-K33269038-001-01-1		["BRD-K33269038-001-01-1"]	54613815
131408770	BRD-K61168987-001-01-1		["BRD-K61168987-001-01-1"]	54613816
131408771	BRD-K80176886-001-01-3		["BRD-K80176886-001-01-3"]	54613817
131408772	BRD-K10048365-001-01-9		["BRD-K10048365-001-01-9"]	54613818
131408773	BRD-K12281552-001-01-7		["BRD-K12281552-001-01-7"]	54613819
131408774	BRD-K20039572-001-01-5		["BRD-K20039572-001-01-5"]	54613820
131408775	BRD-K97128200-001-01-4		["BRD-K97128200-001-01-4"]	54613821
131408778	BRD-K54533560-001-01-0		["BRD-K54533560-001-01-0"]	54613824
131408779	BRD-K46120925-001-01-7		["BRD-K46120925-001-01-7"]	54613825
131408780	BRD-K95508535-001-01-5		["BRD-K95508535-001-01-5"]	54613826
131408781	BRD-K82521348-001-01-0		["BRD-K82521348-001-01-0"]	54613827
131408782	BRD-K32199799-001-02-8		["BRD-K32199799-001-02-8"]	44202497
131408783	BRD-K67597437-001-01-1		["BRD-K67597437-001-01-1"]	54613828
131408784	BRD-K24035524-001-01-8		["BRD-K24035524-001-01-8"]	54613829
131408785	BRD-K13076765-001-02-1		["BRD-K13076765-001-02-1"]	44202608
131408786	BRD-K46126513-001-01-2		["BRD-K46126513-001-01-2"]	54613830
131408787	BRD-K87290989-001-01-1		["BRD-K87290989-001-01-1"]	54613831
131408788	BRD-K94506829-001-01-5		["BRD-K94506829-001-01-5"]	54613832
131408789	BRD-K99470595-001-01-1		["BRD-K99470595-001-01-1"]	54613833
131408790	BRD-K76672835-001-01-9		["BRD-K76672835-001-01-9"]	54613834
131408791	BRD-K18307373-001-01-1		["BRD-K18307373-001-01-1"]	54613835
131408792	BRD-K41887762-001-01-2		["BRD-K41887762-001-01-2"]	54613836
131408793	BRD-K30917841-001-01-5		["BRD-K30917841-001-01-5"]	54613837
131408794	BRD-K83122599-001-01-2		["BRD-K83122599-001-01-2"]	54613838
131408795	BRD-K02321382-001-01-9		["BRD-K02321382-001-01-9"]	54613839
131408796	BRD-K59045095-001-01-4		["BRD-K59045095-001-01-4"]	54613840
131408797	BRD-K66425065-001-01-5		["BRD-K66425065-001-01-5"]	54613841
131408798	BRD-K48308783-001-01-7		["BRD-K48308783-001-01-7"]	54613842
131408799	BRD-K67666705-001-01-9		["BRD-K67666705-001-01-9"]	54613843
