id	name	description	synonyms	compound
103023199	BRD-K15250199-001-05-9		["BRD-K15250199-001-05-9"]	662619
103023207	BRD-K56054222-001-06-4		["BRD-K56054222-001-06-4"]	972980
103023222	BRD-K25144184-001-05-9		["BRD-K25144184-001-05-9"]	4432160
103023226	BRD-K57309821-001-05-8		["BRD-K57309821-001-05-8"]	1398674
103023241	BRD-K53472085-001-01-8		["BRD-K53472085-001-01-8"]	135656310
103904133	BRD-K12393722-001-06-4		["BRD-K12393722-001-06-4"]	15945539
103910785	BRD-K78812164-001-01-0		["BRD-K78812164-001-01-0"]	49835833
103910789	BRD-K11518623-001-01-8		["BRD-K11518623-001-01-8"]	49835851
103910790	BRD-K84570482-001-01-1		["BRD-K84570482-001-01-1"]	49835817
103910795	BRD-K98846091-001-01-2		["BRD-K98846091-001-01-2"]	49835862
103910797	BRD-K57371454-001-01-1		["BRD-K57371454-001-01-1"]	49835814
103910800	BRD-K16522552-001-01-0		["BRD-K16522552-001-01-0"]	49835838
103910801	BRD-K90070572-001-01-5		["BRD-K90070572-001-01-5"]	49835840
103910805	BRD-K95688283-001-01-9		["BRD-K95688283-001-01-9"]	49835843
103910856	BRD-A77467113-001-01-8		["BRD-A77467113-001-01-8"]	659031
103910858	BRD-K94018295-001-06-5		["BRD-K94018295-001-06-5"]	6867256
103910859	BRD-K17343332-001-05-8		["BRD-K17343332-001-05-8"]	135517127
103910861	BRD-K46062088-001-01-4		["BRD-K46062088-001-01-4"]	49835860
103910862	BRD-K14232336-001-06-0		["BRD-K14232336-001-06-0"]	3610881
103910871	BRD-A97833537-001-06-4		["BRD-A97833537-001-06-4"]	4084010
104170240	BRD-K58698715-001-08-6		["BRD-K58698715-001-08-6"]	1612038
104170243	BRD-K40087974-001-07-1		["BRD-K40087974-001-07-1"]	2769229
104170376	BRD-K35932822-001-01-2		["BRD-K35932822-001-01-2"]	49843275
104170380	BRD-K86182839-001-01-3		["BRD-K86182839-001-01-3"]	49843024
104170389	BRD-K16970289-001-01-1		["BRD-K16970289-001-01-1"]	49843341
104170395	BRD-K92434623-001-01-0		["BRD-K92434623-001-01-0"]	49843012
104170396	BRD-K08929846-001-01-3		["BRD-K08929846-001-01-3"]	49842988
104170403	BRD-K97697439-001-01-1		["BRD-K97697439-001-01-1"]	49843066
104170404	BRD-K32445732-001-01-7		["BRD-K32445732-001-01-7"]	49843134
104170408	BRD-K81619018-001-01-2		["BRD-K81619018-001-01-2"]	49843316
104170443	BRD-K36883526-001-01-5		["BRD-K36883526-001-01-5"]	49843220
104170446	BRD-K47105324-001-01-4		["BRD-K47105324-001-01-4"]	49842945
104170447	BRD-K97373334-001-01-5		["BRD-K97373334-001-01-5"]	49843199
104170451	BRD-K89000102-001-01-4		["BRD-K89000102-001-01-4"]	49843444
104170453	BRD-K84890987-001-01-3		["BRD-K84890987-001-01-3"]	49843440
104170454	BRD-K31059159-001-01-1		["BRD-K31059159-001-01-1"]	49843211
104170459	BRD-K23427500-001-01-6		["BRD-K23427500-001-01-6"]	49843413
104170463	BRD-K63096635-001-01-8		["BRD-K63096635-001-01-8"]	49843125
104170468	BRD-K16257790-001-01-5		["BRD-K16257790-001-01-5"]	49843132
104170474	BRD-K70322385-001-01-1		["BRD-K70322385-001-01-1"]	49843438
104170475	BRD-K76544773-001-01-4		["BRD-K76544773-001-01-4"]	49843221
104170477	BRD-9120		["BRD-9120", "BRD-K27239120-001-02-9", "BRD9120"]	49843318
104170480	BRD-K33869336-001-01-7		["BRD-K33869336-001-01-7"]	49843282
104170489	BRD-K60068268-001-01-4		["BRD-K60068268-001-01-4"]	49843236
104170499	BRD-K00185670-001-01-1		["BRD-K00185670-001-01-1"]	49843291
104170510	BRD-K81858524-001-01-3		["BRD-K81858524-001-01-3"]	49842987
104170515	BRD-K43992442-001-01-6		["BRD-K43992442-001-01-6"]	49843159
104170516	BRD-K88722443-001-01-2		["BRD-K88722443-001-01-2"]	49843003
104170520	BRD-K05647501-001-01-0		["BRD-K05647501-001-01-0"]	49843424
104170527	BRD-K48588790-001-01-5		["BRD-K48588790-001-01-5"]	49843445
104170536	BRD-K57719270-001-01-3		["BRD-K57719270-001-01-3"]	49843205
104170537	BRD-K66973998-001-01-6		["BRD-K66973998-001-01-6"]	49843083
104170543	BRD-K41042536-001-01-9		["BRD-K41042536-001-01-9"]	49843224
104170547	BRD-K77326001-001-01-9		["BRD-K77326001-001-01-9"]	49843262
104170558	BRD-K85211514-001-01-3		["BRD-K85211514-001-01-3"]	49843416
