subject_id_namespace	subject_local_id	collection_id_namespace	collection_local_id
https://www.lincsproject.org/	LCL-1316	https://www.lincsproject.org/	LDG-1415
https://www.lincsproject.org/	LCL-1466	https://www.lincsproject.org/	LDG-1415
https://www.lincsproject.org/	LCL-1331	https://www.lincsproject.org/	LDG-1415
https://www.lincsproject.org/	LCL-1467	https://www.lincsproject.org/	LDG-1415
https://www.lincsproject.org/	LCL-1486	https://www.lincsproject.org/	LDG-1415
https://www.lincsproject.org/	LCL-1960	https://www.lincsproject.org/	LDG-1415
https://www.lincsproject.org/	LCL-1332	https://www.lincsproject.org/	LDG-1415
https://www.lincsproject.org/	LCL-1461	https://www.lincsproject.org/	LDG-1415
https://www.lincsproject.org/	LCL-1315	https://www.lincsproject.org/	LDG-1415
https://www.lincsproject.org/	LCL-1475	https://www.lincsproject.org/	LDG-1415
https://www.lincsproject.org/	LCL-1476	https://www.lincsproject.org/	LDG-1415
https://www.lincsproject.org/	LCL-1460	https://www.lincsproject.org/	LDG-1415
https://www.lincsproject.org/	LCL-2085	https://www.lincsproject.org/	LDG-1415
https://www.lincsproject.org/	LCL-2224	https://www.lincsproject.org/	LDG-1416
https://www.lincsproject.org/	LCL-2223	https://www.lincsproject.org/	LDG-1416
https://www.lincsproject.org/	LCL-2225	https://www.lincsproject.org/	LDG-1416
https://www.lincsproject.org/	LCL-1325	https://www.lincsproject.org/	LDG-1416
https://www.lincsproject.org/	LCL-1333	https://www.lincsproject.org/	LDG-1416
https://www.lincsproject.org/	LCL-1314	https://www.lincsproject.org/	LDG-1416
https://www.lincsproject.org/	LCL-1468	https://www.lincsproject.org/	LDG-1416
https://www.lincsproject.org/	LCL-1310	https://www.lincsproject.org/	LDG-1416
https://www.lincsproject.org/	LCL-1316	https://www.lincsproject.org/	LDG-1416
https://www.lincsproject.org/	LCL-1466	https://www.lincsproject.org/	LDG-1416
https://www.lincsproject.org/	LCL-1331	https://www.lincsproject.org/	LDG-1416
https://www.lincsproject.org/	LCL-1467	https://www.lincsproject.org/	LDG-1416
https://www.lincsproject.org/	LCL-1486	https://www.lincsproject.org/	LDG-1416
https://www.lincsproject.org/	LCL-1960	https://www.lincsproject.org/	LDG-1416
https://www.lincsproject.org/	LCL-1332	https://www.lincsproject.org/	LDG-1416
https://www.lincsproject.org/	LCL-1461	https://www.lincsproject.org/	LDG-1416
https://www.lincsproject.org/	LCL-1315	https://www.lincsproject.org/	LDG-1416
https://www.lincsproject.org/	LCL-1475	https://www.lincsproject.org/	LDG-1416
https://www.lincsproject.org/	LCL-1476	https://www.lincsproject.org/	LDG-1416
https://www.lincsproject.org/	LCL-1460	https://www.lincsproject.org/	LDG-1416
https://www.lincsproject.org/	LCL-2085	https://www.lincsproject.org/	LDG-1416
https://www.lincsproject.org/	LCL-2224	https://www.lincsproject.org/	LDG-1421
