biosample_id_namespace	biosample_local_id	collection_id_namespace	collection_local_id
http://www.lincsproject.org/	LDG-1251:LCL-2221	http://www.lincsproject.org/	LDG-1251
http://www.lincsproject.org/	LDG-1251:LCL-2094	http://www.lincsproject.org/	LDG-1251
http://www.lincsproject.org/	LDG-1104:LCL-1601	http://www.lincsproject.org/	LDG-1104
http://www.lincsproject.org/	LDG-1074:LCL-1235	http://www.lincsproject.org/	LDG-1074
http://www.lincsproject.org/	LDG-1215:LCL-2091	http://www.lincsproject.org/	LDG-1215
http://www.lincsproject.org/	LDG-1215:LCL-2092	http://www.lincsproject.org/	LDG-1215
http://www.lincsproject.org/	LDG-1215:LCL-1279	http://www.lincsproject.org/	LDG-1215
http://www.lincsproject.org/	LDG-1215:LCL-1277	http://www.lincsproject.org/	LDG-1215
http://www.lincsproject.org/	LDG-1215:LCL-1260	http://www.lincsproject.org/	LDG-1215
http://www.lincsproject.org/	LDG-1215:LCL-1261	http://www.lincsproject.org/	LDG-1215
http://www.lincsproject.org/	LDG-1215:LCL-1255	http://www.lincsproject.org/	LDG-1215
http://www.lincsproject.org/	LDG-1215:LCL-1276	http://www.lincsproject.org/	LDG-1215
http://www.lincsproject.org/	LDG-1215:LCL-1238	http://www.lincsproject.org/	LDG-1215
http://www.lincsproject.org/	LDG-1215:LCL-1242	http://www.lincsproject.org/	LDG-1215
http://www.lincsproject.org/	LDG-1120:LCL-2102	http://www.lincsproject.org/	LDG-1120
http://www.lincsproject.org/	LDG-1120:LCL-2082	http://www.lincsproject.org/	LDG-1120
http://www.lincsproject.org/	LDG-1120:LCL-2081	http://www.lincsproject.org/	LDG-1120
http://www.lincsproject.org/	LDG-1120:LCL-1469	http://www.lincsproject.org/	LDG-1120
http://www.lincsproject.org/	LDG-1120:LCL-1325	http://www.lincsproject.org/	LDG-1120
http://www.lincsproject.org/	LDG-1120:LCL-1317	http://www.lincsproject.org/	LDG-1120
http://www.lincsproject.org/	LDG-1120:LCL-1480	http://www.lincsproject.org/	LDG-1120
http://www.lincsproject.org/	LDG-1120:LCL-1324	http://www.lincsproject.org/	LDG-1120
http://www.lincsproject.org/	LDG-1120:LCL-1309	http://www.lincsproject.org/	LDG-1120
http://www.lincsproject.org/	LDG-1120:LCL-1333	http://www.lincsproject.org/	LDG-1120
http://www.lincsproject.org/	LDG-1120:LCL-1320	http://www.lincsproject.org/	LDG-1120
http://www.lincsproject.org/	LDG-1120:LCL-1321	http://www.lincsproject.org/	LDG-1120
http://www.lincsproject.org/	LDG-1120:LCL-1319	http://www.lincsproject.org/	LDG-1120
http://www.lincsproject.org/	LDG-1120:LCL-1322	http://www.lincsproject.org/	LDG-1120
http://www.lincsproject.org/	LDG-1120:LCL-1916	http://www.lincsproject.org/	LDG-1120
http://www.lincsproject.org/	LDG-1120:LCL-1314	http://www.lincsproject.org/	LDG-1120
http://www.lincsproject.org/	LDG-1120:LCL-1468	http://www.lincsproject.org/	LDG-1120
http://www.lincsproject.org/	LDG-1120:LCL-1335	http://www.lincsproject.org/	LDG-1120
http://www.lincsproject.org/	LDG-1120:LCL-1471	http://www.lincsproject.org/	LDG-1120
http://www.lincsproject.org/	LDG-1120:LCL-1310	http://www.lincsproject.org/	LDG-1120
http://www.lincsproject.org/	LDG-1120:LCL-1330	http://www.lincsproject.org/	LDG-1120
http://www.lincsproject.org/	LDG-1120:LCL-1470	http://www.lincsproject.org/	LDG-1120
http://www.lincsproject.org/	LDG-1120:LCL-1316	http://www.lincsproject.org/	LDG-1120
http://www.lincsproject.org/	LDG-1120:LCL-1308	http://www.lincsproject.org/	LDG-1120
http://www.lincsproject.org/	LDG-1120:LCL-1334	http://www.lincsproject.org/	LDG-1120
http://www.lincsproject.org/	LDG-1120:LCL-1466	http://www.lincsproject.org/	LDG-1120
http://www.lincsproject.org/	LDG-1120:LCL-1462	http://www.lincsproject.org/	LDG-1120
http://www.lincsproject.org/	LDG-1120:LCL-1331	http://www.lincsproject.org/	LDG-1120
http://www.lincsproject.org/	LDG-1120:LCL-1467	http://www.lincsproject.org/	LDG-1120
http://www.lincsproject.org/	LDG-1120:LCL-1485	http://www.lincsproject.org/	LDG-1120
http://www.lincsproject.org/	LDG-1120:LCL-1486	http://www.lincsproject.org/	LDG-1120
http://www.lincsproject.org/	LDG-1120:LCL-1960	http://www.lincsproject.org/	LDG-1120
http://www.lincsproject.org/	LDG-1120:LCL-1332	http://www.lincsproject.org/	LDG-1120
http://www.lincsproject.org/	LDG-1120:LCL-1461	http://www.lincsproject.org/	LDG-1120
http://www.lincsproject.org/	LDG-1120:LCL-1315	http://www.lincsproject.org/	LDG-1120
http://www.lincsproject.org/	LDG-1120:LCL-1475	http://www.lincsproject.org/	LDG-1120
http://www.lincsproject.org/	LDG-1120:LCL-1476	http://www.lincsproject.org/	LDG-1120
http://www.lincsproject.org/	LDG-1120:LCL-1460	http://www.lincsproject.org/	LDG-1120
http://www.lincsproject.org/	LDG-1120:LCL-2085	http://www.lincsproject.org/	LDG-1120
http://www.lincsproject.org/	LDG-1252:LCL-1461	http://www.lincsproject.org/	LDG-1252
http://www.lincsproject.org/	LDG-1252:LCL-1315	http://www.lincsproject.org/	LDG-1252
http://www.lincsproject.org/	LDG-1252:LCL-1475	http://www.lincsproject.org/	LDG-1252
http://www.lincsproject.org/	LDG-1252:LCL-1476	http://www.lincsproject.org/	LDG-1252
http://www.lincsproject.org/	LDG-1252:LCL-1460	http://www.lincsproject.org/	LDG-1252
http://www.lincsproject.org/	LDG-1252:LCL-2085	http://www.lincsproject.org/	LDG-1252
http://www.lincsproject.org/	LDG-1253:LCL-1461	http://www.lincsproject.org/	LDG-1253
http://www.lincsproject.org/	LDG-1253:LCL-1315	http://www.lincsproject.org/	LDG-1253
http://www.lincsproject.org/	LDG-1253:LCL-1475	http://www.lincsproject.org/	LDG-1253
http://www.lincsproject.org/	LDG-1253:LCL-1476	http://www.lincsproject.org/	LDG-1253
http://www.lincsproject.org/	LDG-1253:LCL-1460	http://www.lincsproject.org/	LDG-1253
http://www.lincsproject.org/	LDG-1253:LCL-2085	http://www.lincsproject.org/	LDG-1253
http://www.lincsproject.org/	LDG-1254:LCL-1461	http://www.lincsproject.org/	LDG-1254
http://www.lincsproject.org/	LDG-1254:LCL-1315	http://www.lincsproject.org/	LDG-1254
http://www.lincsproject.org/	LDG-1254:LCL-1475	http://www.lincsproject.org/	LDG-1254
http://www.lincsproject.org/	LDG-1254:LCL-1476	http://www.lincsproject.org/	LDG-1254
http://www.lincsproject.org/	LDG-1254:LCL-1460	http://www.lincsproject.org/	LDG-1254
http://www.lincsproject.org/	LDG-1254:LCL-2085	http://www.lincsproject.org/	LDG-1254
http://www.lincsproject.org/	LDG-1415:LCL-2224	http://www.lincsproject.org/	LDG-1415
http://www.lincsproject.org/	LDG-1415:LCL-2223	http://www.lincsproject.org/	LDG-1415
http://www.lincsproject.org/	LDG-1415:LCL-2225	http://www.lincsproject.org/	LDG-1415
http://www.lincsproject.org/	LDG-1415:LCL-1325	http://www.lincsproject.org/	LDG-1415
http://www.lincsproject.org/	LDG-1415:LCL-1333	http://www.lincsproject.org/	LDG-1415
http://www.lincsproject.org/	LDG-1415:LCL-1314	http://www.lincsproject.org/	LDG-1415
http://www.lincsproject.org/	LDG-1415:LCL-1468	http://www.lincsproject.org/	LDG-1415
http://www.lincsproject.org/	LDG-1415:LCL-1310	http://www.lincsproject.org/	LDG-1415
http://www.lincsproject.org/	LDG-1415:LCL-1316	http://www.lincsproject.org/	LDG-1415
http://www.lincsproject.org/	LDG-1415:LCL-1466	http://www.lincsproject.org/	LDG-1415
http://www.lincsproject.org/	LDG-1415:LCL-1331	http://www.lincsproject.org/	LDG-1415
http://www.lincsproject.org/	LDG-1415:LCL-1467	http://www.lincsproject.org/	LDG-1415
http://www.lincsproject.org/	LDG-1415:LCL-1486	http://www.lincsproject.org/	LDG-1415
http://www.lincsproject.org/	LDG-1415:LCL-1960	http://www.lincsproject.org/	LDG-1415
http://www.lincsproject.org/	LDG-1415:LCL-1332	http://www.lincsproject.org/	LDG-1415
http://www.lincsproject.org/	LDG-1415:LCL-1461	http://www.lincsproject.org/	LDG-1415
http://www.lincsproject.org/	LDG-1415:LCL-1315	http://www.lincsproject.org/	LDG-1415
http://www.lincsproject.org/	LDG-1415:LCL-1475	http://www.lincsproject.org/	LDG-1415
http://www.lincsproject.org/	LDG-1415:LCL-1476	http://www.lincsproject.org/	LDG-1415
http://www.lincsproject.org/	LDG-1415:LCL-1460	http://www.lincsproject.org/	LDG-1415
http://www.lincsproject.org/	LDG-1415:LCL-2085	http://www.lincsproject.org/	LDG-1415
http://www.lincsproject.org/	LDG-1416:LCL-2224	http://www.lincsproject.org/	LDG-1416
http://www.lincsproject.org/	LDG-1416:LCL-2223	http://www.lincsproject.org/	LDG-1416
http://www.lincsproject.org/	LDG-1416:LCL-2225	http://www.lincsproject.org/	LDG-1416
http://www.lincsproject.org/	LDG-1416:LCL-1325	http://www.lincsproject.org/	LDG-1416
http://www.lincsproject.org/	LDG-1416:LCL-1333	http://www.lincsproject.org/	LDG-1416
http://www.lincsproject.org/	LDG-1416:LCL-1314	http://www.lincsproject.org/	LDG-1416
http://www.lincsproject.org/	LDG-1416:LCL-1468	http://www.lincsproject.org/	LDG-1416
http://www.lincsproject.org/	LDG-1416:LCL-1310	http://www.lincsproject.org/	LDG-1416
http://www.lincsproject.org/	LDG-1416:LCL-1316	http://www.lincsproject.org/	LDG-1416
http://www.lincsproject.org/	LDG-1416:LCL-1466	http://www.lincsproject.org/	LDG-1416
http://www.lincsproject.org/	LDG-1416:LCL-1331	http://www.lincsproject.org/	LDG-1416
http://www.lincsproject.org/	LDG-1416:LCL-1467	http://www.lincsproject.org/	LDG-1416
http://www.lincsproject.org/	LDG-1416:LCL-1486	http://www.lincsproject.org/	LDG-1416
http://www.lincsproject.org/	LDG-1416:LCL-1960	http://www.lincsproject.org/	LDG-1416
http://www.lincsproject.org/	LDG-1416:LCL-1332	http://www.lincsproject.org/	LDG-1416
