collection_id_namespace	collection_local_id	anatomy
https://www.lincsproject.org/	LDG-1226	UBERON:0000310
https://www.lincsproject.org/	LDG-1241	UBERON:0000310
https://www.lincsproject.org/	LDG-1242	UBERON:0000310
https://www.lincsproject.org/	LDG-1216	UBERON:0000002
https://www.lincsproject.org/	LDG-1375	UBERON:0000310
https://www.lincsproject.org/	LDG-1376	UBERON:0000310
https://www.lincsproject.org/	LDG-1377	UBERON:0000310
https://www.lincsproject.org/	LDG-1378	UBERON:0000310
https://www.lincsproject.org/	LDG-1364	UBERON:0000310
https://www.lincsproject.org/	LDG-1365	UBERON:0000310
https://www.lincsproject.org/	LDG-1374	UBERON:0000310
https://www.lincsproject.org/	LDG-1366	UBERON:0000310
https://www.lincsproject.org/	LDG-1367	UBERON:0000310
https://www.lincsproject.org/	LDG-1370	UBERON:0000310
https://www.lincsproject.org/	LDG-1368	UBERON:0000310
https://www.lincsproject.org/	LDG-1371	UBERON:0000310
https://www.lincsproject.org/	LDG-1369	UBERON:0000310
https://www.lincsproject.org/	LDG-1372	UBERON:0000310
https://www.lincsproject.org/	LDG-1373	UBERON:0000310
https://www.lincsproject.org/	LDG-1267	UBERON:0000310
https://www.lincsproject.org/	LDG-1268	UBERON:0000310
https://www.lincsproject.org/	LDG-1269	UBERON:0000310
https://www.lincsproject.org/	LDG-1270	UBERON:0002367
https://www.lincsproject.org/	LDG-1271	UBERON:0002367
https://www.lincsproject.org/	LDG-1272	UBERON:0002367
https://www.lincsproject.org/	LDG-1273	UBERON:0002367
https://www.lincsproject.org/	LDG-1274	UBERON:0001264
https://www.lincsproject.org/	LDG-1275	UBERON:0001264
https://www.lincsproject.org/	LDG-1276	UBERON:0001264
https://www.lincsproject.org/	LDG-1201	UBERON:0000310
https://www.lincsproject.org/	LDG-1103	UBERON:0000310
https://www.lincsproject.org/	LDG-1299	UBERON:0000310
https://www.lincsproject.org/	LDG-1300	UBERON:0000310
https://www.lincsproject.org/	LDG-1087	UBERON:0002367
https://www.lincsproject.org/	LDG-1185	UBERON:0000310
https://www.lincsproject.org/	LDG-1282	UBERON:0000310
https://www.lincsproject.org/	LDG-1183	UBERON:0000178
https://www.lincsproject.org/	LDG-1250	UBERON:0000178
https://www.lincsproject.org/	LDG-1214	UBERON:0002097
https://www.lincsproject.org/	LDG-1213	UBERON:0002097
https://www.lincsproject.org/	LDG-1073	UBERON:0002097
https://www.lincsproject.org/	LDG-1075	UBERON:0002097
https://www.lincsproject.org/	LDG-1308	UBERON:0002097
https://www.lincsproject.org/	LDG-1309	UBERON:0002097
https://www.lincsproject.org/	LDG-1311	UBERON:0002097
https://www.lincsproject.org/	LDG-1203	UBERON:0002097
https://www.lincsproject.org/	LDG-1204	UBERON:0002097
https://www.lincsproject.org/	LDG-1310	UBERON:0002097
https://www.lincsproject.org/	LDG-1182	UBERON:0000178
https://www.lincsproject.org/	LDG-1292	UBERON:0000178
https://www.lincsproject.org/	LDG-1072	UBERON:0002097
https://www.lincsproject.org/	LDG-1200	UBERON:0000310
https://www.lincsproject.org/	LDG-1070	UBERON:0002097
https://www.lincsproject.org/	LDG-1442	UBERON:0000310
https://www.lincsproject.org/	LDG-1077	UBERON:0000002
https://www.lincsproject.org/	LDG-1078	UBERON:0000002
https://www.lincsproject.org/	LDG-1105	UBERON:0000955
https://www.lincsproject.org/	LDG-1106	UBERON:0006558
https://www.lincsproject.org/	LDG-1202	UBERON:0002097
https://www.lincsproject.org/	LDG-1307	UBERON:0002097
https://www.lincsproject.org/	LDG-1306	UBERON:0002097
https://www.lincsproject.org/	LDG-1249	UBERON:0000178
https://www.lincsproject.org/	LDG-1401	UBERON:0000310
https://www.lincsproject.org/	LDG-1217	UBERON:0007616
https://www.lincsproject.org/	LDG-1218	UBERON:0007616
https://www.lincsproject.org/	LDG-1219	UBERON:0007616
https://www.lincsproject.org/	LDG-1410	UBERON:0000922
https://www.lincsproject.org/	LDG-1411	UBERON:0000922
https://www.lincsproject.org/	LDG-1412	UBERON:0000922
https://www.lincsproject.org/	LDG-1444	UBERON:0000948
