subject_id_namespace	subject_local_id	role_id	taxonomy_id
http://www.lincsproject.org/	GTEX-XBEW	cfde_subject_role:0	NCBI:txid9606
http://www.lincsproject.org/	GTEX-POYW	cfde_subject_role:0	NCBI:txid9606
http://www.lincsproject.org/	GTEX-RNOR	cfde_subject_role:0	NCBI:txid9606
http://www.lincsproject.org/	GTEX-QDT8	cfde_subject_role:0	NCBI:txid9606
http://www.lincsproject.org/	GTEX-QEG4	cfde_subject_role:0	NCBI:txid9606
http://www.lincsproject.org/	GTEX-P78B	cfde_subject_role:0	NCBI:txid9606
http://www.lincsproject.org/	GTEX-QEG5	cfde_subject_role:0	NCBI:txid9606
http://www.lincsproject.org/	GTEX-SN8G	cfde_subject_role:0	NCBI:txid9606
http://www.lincsproject.org/	GTEX-O5YV	cfde_subject_role:0	NCBI:txid9606
http://www.lincsproject.org/	GTEX-ZTX8	cfde_subject_role:0	NCBI:txid9606
http://www.lincsproject.org/	GTEX-PLZ6	cfde_subject_role:0	NCBI:txid9606
http://www.lincsproject.org/	GTEX-WH7G	cfde_subject_role:0	NCBI:txid9606
http://www.lincsproject.org/	GTEX-S4Q7	cfde_subject_role:0	NCBI:txid9606
http://www.lincsproject.org/	GTEX-YEC4	cfde_subject_role:0	NCBI:txid9606
http://www.lincsproject.org/	GTEX-OHPL	cfde_subject_role:0	NCBI:txid9606
http://www.lincsproject.org/	GTEX-ZDTT	cfde_subject_role:0	NCBI:txid9606
http://www.lincsproject.org/	GTEX-QCQG	cfde_subject_role:0	NCBI:txid9606
http://www.lincsproject.org/	GTEX-PW2O	cfde_subject_role:0	NCBI:txid9606
http://www.lincsproject.org/	GTEX-XUJ4	cfde_subject_role:0	NCBI:txid9606
http://www.lincsproject.org/	GTEX-XK95	cfde_subject_role:0	NCBI:txid9606
http://www.lincsproject.org/	GTEX-SNMC	cfde_subject_role:0	NCBI:txid9606
http://www.lincsproject.org/	GTEX-X15G	cfde_subject_role:0	NCBI:txid9606
http://www.lincsproject.org/	GTEX-NFK9	cfde_subject_role:0	NCBI:txid9606
http://www.lincsproject.org/	GTEX-U3ZN	cfde_subject_role:0	NCBI:txid9606
http://www.lincsproject.org/	GTEX-UTHO	cfde_subject_role:0	NCBI:txid9606
http://www.lincsproject.org/	GTEX-OHPK	cfde_subject_role:0	NCBI:txid9606
http://www.lincsproject.org/	GTEX-TMMY	cfde_subject_role:0	NCBI:txid9606
http://www.lincsproject.org/	GTEX-OXRL	cfde_subject_role:0	NCBI:txid9606
http://www.lincsproject.org/	GTEX-Y9LG	cfde_subject_role:0	NCBI:txid9606
http://www.lincsproject.org/	GTEX-RWSA	cfde_subject_role:0	NCBI:txid9606
http://www.lincsproject.org/	GTEX-V955	cfde_subject_role:0	NCBI:txid9606
http://www.lincsproject.org/	GTEX-WK11	cfde_subject_role:0	NCBI:txid9606
http://www.lincsproject.org/	GTEX-Y111	cfde_subject_role:0	NCBI:txid9606
http://www.lincsproject.org/	GTEX-YEC3	cfde_subject_role:0	NCBI:txid9606
http://www.lincsproject.org/	GTEX-Y8E4	cfde_subject_role:0	NCBI:txid9606
http://www.lincsproject.org/	GTEX-S3XE	cfde_subject_role:0	NCBI:txid9606
http://www.lincsproject.org/	GTEX-PWOO	cfde_subject_role:0	NCBI:txid9606
http://www.lincsproject.org/	GTEX-Q734	cfde_subject_role:0	NCBI:txid9606
http://www.lincsproject.org/	GTEX-T5JW	cfde_subject_role:0	NCBI:txid9606
http://www.lincsproject.org/	GTEX-XQ3S	cfde_subject_role:0	NCBI:txid9606
http://www.lincsproject.org/	GTEX-X638	cfde_subject_role:0	NCBI:txid9606
http://www.lincsproject.org/	GTEX-PWN1	cfde_subject_role:0	NCBI:txid9606
http://www.lincsproject.org/	GTEX-ZVT3	cfde_subject_role:0	NCBI:txid9606
http://www.lincsproject.org/	GTEX-QESD	cfde_subject_role:0	NCBI:txid9606
http://www.lincsproject.org/	GTEX-Q2AG	cfde_subject_role:0	NCBI:txid9606
http://www.lincsproject.org/	GTEX-ZTSS	cfde_subject_role:0	NCBI:txid9606
http://www.lincsproject.org/	GTEX-XOTO	cfde_subject_role:0	NCBI:txid9606
http://www.lincsproject.org/	GTEX-TKQ2	cfde_subject_role:0	NCBI:txid9606
http://www.lincsproject.org/	GTEX-ZE7O	cfde_subject_role:0	NCBI:txid9606
http://www.lincsproject.org/	GTEX-XQ8I	cfde_subject_role:0	NCBI:txid9606
http://www.lincsproject.org/	GTEX-WVJS	cfde_subject_role:0	NCBI:txid9606
http://www.lincsproject.org/	GTEX-ZLWG	cfde_subject_role:0	NCBI:txid9606
http://www.lincsproject.org/	GTEX-VUSG	cfde_subject_role:0	NCBI:txid9606
http://www.lincsproject.org/	GTEX-PX3G	cfde_subject_role:0	NCBI:txid9606
http://www.lincsproject.org/	GTEX-RVPV	cfde_subject_role:0	NCBI:txid9606
http://www.lincsproject.org/	GTEX-S341	cfde_subject_role:0	NCBI:txid9606
http://www.lincsproject.org/	GTEX-ZPIC	cfde_subject_role:0	NCBI:txid9606
http://www.lincsproject.org/	GTEX-WOFM	cfde_subject_role:0	NCBI:txid9606
http://www.lincsproject.org/	GTEX-Y5V6	cfde_subject_role:0	NCBI:txid9606
http://www.lincsproject.org/	GTEX-X4LF	cfde_subject_role:0	NCBI:txid9606
http://www.lincsproject.org/	GTEX-XXEK	cfde_subject_role:0	NCBI:txid9606
http://www.lincsproject.org/	GTEX-SNOS	cfde_subject_role:0	NCBI:txid9606
http://www.lincsproject.org/	GTEX-ZLFU	cfde_subject_role:0	NCBI:txid9606
http://www.lincsproject.org/	GTEX-S32W	cfde_subject_role:0	NCBI:txid9606
http://www.lincsproject.org/	GTEX-QDVN	cfde_subject_role:0	NCBI:txid9606
http://www.lincsproject.org/	GTEX-XMD3	cfde_subject_role:0	NCBI:txid9606
http://www.lincsproject.org/	GTEX-TML8	cfde_subject_role:0	NCBI:txid9606
http://www.lincsproject.org/	GTEX-WEY5	cfde_subject_role:0	NCBI:txid9606
http://www.lincsproject.org/	GTEX-X3Y1	cfde_subject_role:0	NCBI:txid9606
http://www.lincsproject.org/	GTEX-XMD2	cfde_subject_role:0	NCBI:txid9606
http://www.lincsproject.org/	GTEX-WHWD	cfde_subject_role:0	NCBI:txid9606
http://www.lincsproject.org/	GTEX-PLZ5	cfde_subject_role:0	NCBI:txid9606
http://www.lincsproject.org/	GTEX-ZC5H	cfde_subject_role:0	NCBI:txid9606
http://www.lincsproject.org/	GTEX-OOBK	cfde_subject_role:0	NCBI:txid9606
http://www.lincsproject.org/	GTEX-T6MO	cfde_subject_role:0	NCBI:txid9606
http://www.lincsproject.org/	GTEX-NL4W	cfde_subject_role:0	NCBI:txid9606
http://www.lincsproject.org/	GTEX-Q2AH	cfde_subject_role:0	NCBI:txid9606
http://www.lincsproject.org/	GTEX-SSA3	cfde_subject_role:0	NCBI:txid9606
http://www.lincsproject.org/	GTEX-S7PM	cfde_subject_role:0	NCBI:txid9606
http://www.lincsproject.org/	GTEX-PLZ4	cfde_subject_role:0	NCBI:txid9606
http://www.lincsproject.org/	GTEX-Y3IK	cfde_subject_role:0	NCBI:txid9606
http://www.lincsproject.org/	GTEX-T6MN	cfde_subject_role:0	NCBI:txid9606
http://www.lincsproject.org/	GTEX-VJWN	cfde_subject_role:0	NCBI:txid9606
http://www.lincsproject.org/	GTEX-WFON	cfde_subject_role:0	NCBI:txid9606
http://www.lincsproject.org/	GTEX-UPK5	cfde_subject_role:0	NCBI:txid9606
http://www.lincsproject.org/	GTEX-VJYA	cfde_subject_role:0	NCBI:txid9606
