local_id	id_namespace	project_id_namespace	project_local_id	creation_time	granularity	persistent_id
GTEX-QDT8	http://www.lincsproject.org/	http://www.lincsproject.org/	LINCS L1000 GTEx		cfde_subject_granularity:0	
GTEX-QEG4	http://www.lincsproject.org/	http://www.lincsproject.org/	LINCS L1000 GTEx		cfde_subject_granularity:0	
GTEX-P78B	http://www.lincsproject.org/	http://www.lincsproject.org/	LINCS L1000 GTEx		cfde_subject_granularity:0	
GTEX-QEG5	http://www.lincsproject.org/	http://www.lincsproject.org/	LINCS L1000 GTEx		cfde_subject_granularity:0	
GTEX-SN8G	http://www.lincsproject.org/	http://www.lincsproject.org/	LINCS L1000 GTEx		cfde_subject_granularity:0	
GTEX-O5YV	http://www.lincsproject.org/	http://www.lincsproject.org/	LINCS L1000 GTEx		cfde_subject_granularity:0	
GTEX-ZTX8	http://www.lincsproject.org/	http://www.lincsproject.org/	LINCS L1000 GTEx		cfde_subject_granularity:0	
GTEX-PLZ6	http://www.lincsproject.org/	http://www.lincsproject.org/	LINCS L1000 GTEx		cfde_subject_granularity:0	
GTEX-WH7G	http://www.lincsproject.org/	http://www.lincsproject.org/	LINCS L1000 GTEx		cfde_subject_granularity:0	
GTEX-S4Q7	http://www.lincsproject.org/	http://www.lincsproject.org/	LINCS L1000 GTEx		cfde_subject_granularity:0	
GTEX-YEC4	http://www.lincsproject.org/	http://www.lincsproject.org/	LINCS L1000 GTEx		cfde_subject_granularity:0	
GTEX-OHPL	http://www.lincsproject.org/	http://www.lincsproject.org/	LINCS L1000 GTEx		cfde_subject_granularity:0	
GTEX-ZDTT	http://www.lincsproject.org/	http://www.lincsproject.org/	LINCS L1000 GTEx		cfde_subject_granularity:0	
GTEX-QCQG	http://www.lincsproject.org/	http://www.lincsproject.org/	LINCS L1000 GTEx		cfde_subject_granularity:0	
GTEX-PW2O	http://www.lincsproject.org/	http://www.lincsproject.org/	LINCS L1000 GTEx		cfde_subject_granularity:0	
GTEX-XUJ4	http://www.lincsproject.org/	http://www.lincsproject.org/	LINCS L1000 GTEx		cfde_subject_granularity:0	
GTEX-XK95	http://www.lincsproject.org/	http://www.lincsproject.org/	LINCS L1000 GTEx		cfde_subject_granularity:0	
GTEX-SNMC	http://www.lincsproject.org/	http://www.lincsproject.org/	LINCS L1000 GTEx		cfde_subject_granularity:0	
GTEX-X15G	http://www.lincsproject.org/	http://www.lincsproject.org/	LINCS L1000 GTEx		cfde_subject_granularity:0	
GTEX-NFK9	http://www.lincsproject.org/	http://www.lincsproject.org/	LINCS L1000 GTEx		cfde_subject_granularity:0	
GTEX-U3ZN	http://www.lincsproject.org/	http://www.lincsproject.org/	LINCS L1000 GTEx		cfde_subject_granularity:0	
GTEX-UTHO	http://www.lincsproject.org/	http://www.lincsproject.org/	LINCS L1000 GTEx		cfde_subject_granularity:0	
GTEX-OHPK	http://www.lincsproject.org/	http://www.lincsproject.org/	LINCS L1000 GTEx		cfde_subject_granularity:0	
GTEX-TMMY	http://www.lincsproject.org/	http://www.lincsproject.org/	LINCS L1000 GTEx		cfde_subject_granularity:0	
GTEX-OXRL	http://www.lincsproject.org/	http://www.lincsproject.org/	LINCS L1000 GTEx		cfde_subject_granularity:0	
GTEX-Y9LG	http://www.lincsproject.org/	http://www.lincsproject.org/	LINCS L1000 GTEx		cfde_subject_granularity:0	
GTEX-RWSA	http://www.lincsproject.org/	http://www.lincsproject.org/	LINCS L1000 GTEx		cfde_subject_granularity:0	
GTEX-V955	http://www.lincsproject.org/	http://www.lincsproject.org/	LINCS L1000 GTEx		cfde_subject_granularity:0	
GTEX-WK11	http://www.lincsproject.org/	http://www.lincsproject.org/	LINCS L1000 GTEx		cfde_subject_granularity:0	
GTEX-Y111	http://www.lincsproject.org/	http://www.lincsproject.org/	LINCS L1000 GTEx		cfde_subject_granularity:0	
GTEX-YEC3	http://www.lincsproject.org/	http://www.lincsproject.org/	LINCS L1000 GTEx		cfde_subject_granularity:0	
GTEX-Y8E4	http://www.lincsproject.org/	http://www.lincsproject.org/	LINCS L1000 GTEx		cfde_subject_granularity:0	
GTEX-S3XE	http://www.lincsproject.org/	http://www.lincsproject.org/	LINCS L1000 GTEx		cfde_subject_granularity:0	
GTEX-PWOO	http://www.lincsproject.org/	http://www.lincsproject.org/	LINCS L1000 GTEx		cfde_subject_granularity:0	
GTEX-Q734	http://www.lincsproject.org/	http://www.lincsproject.org/	LINCS L1000 GTEx		cfde_subject_granularity:0	
GTEX-T5JW	http://www.lincsproject.org/	http://www.lincsproject.org/	LINCS L1000 GTEx		cfde_subject_granularity:0	
GTEX-XQ3S	http://www.lincsproject.org/	http://www.lincsproject.org/	LINCS L1000 GTEx		cfde_subject_granularity:0	
GTEX-X638	http://www.lincsproject.org/	http://www.lincsproject.org/	LINCS L1000 GTEx		cfde_subject_granularity:0	
GTEX-PWN1	http://www.lincsproject.org/	http://www.lincsproject.org/	LINCS L1000 GTEx		cfde_subject_granularity:0	
GTEX-ZVT3	http://www.lincsproject.org/	http://www.lincsproject.org/	LINCS L1000 GTEx		cfde_subject_granularity:0	
GTEX-QESD	http://www.lincsproject.org/	http://www.lincsproject.org/	LINCS L1000 GTEx		cfde_subject_granularity:0	
GTEX-Q2AG	http://www.lincsproject.org/	http://www.lincsproject.org/	LINCS L1000 GTEx		cfde_subject_granularity:0	
GTEX-ZTSS	http://www.lincsproject.org/	http://www.lincsproject.org/	LINCS L1000 GTEx		cfde_subject_granularity:0	
GTEX-XOTO	http://www.lincsproject.org/	http://www.lincsproject.org/	LINCS L1000 GTEx		cfde_subject_granularity:0	
GTEX-TKQ2	http://www.lincsproject.org/	http://www.lincsproject.org/	LINCS L1000 GTEx		cfde_subject_granularity:0	
GTEX-ZE7O	http://www.lincsproject.org/	http://www.lincsproject.org/	LINCS L1000 GTEx		cfde_subject_granularity:0	
GTEX-XQ8I	http://www.lincsproject.org/	http://www.lincsproject.org/	LINCS L1000 GTEx		cfde_subject_granularity:0	
GTEX-WVJS	http://www.lincsproject.org/	http://www.lincsproject.org/	LINCS L1000 GTEx		cfde_subject_granularity:0	
GTEX-ZLWG	http://www.lincsproject.org/	http://www.lincsproject.org/	LINCS L1000 GTEx		cfde_subject_granularity:0	
GTEX-VUSG	http://www.lincsproject.org/	http://www.lincsproject.org/	LINCS L1000 GTEx		cfde_subject_granularity:0	
GTEX-PX3G	http://www.lincsproject.org/	http://www.lincsproject.org/	LINCS L1000 GTEx		cfde_subject_granularity:0	
GTEX-RVPV	http://www.lincsproject.org/	http://www.lincsproject.org/	LINCS L1000 GTEx		cfde_subject_granularity:0	
GTEX-S341	http://www.lincsproject.org/	http://www.lincsproject.org/	LINCS L1000 GTEx		cfde_subject_granularity:0	
GTEX-ZPIC	http://www.lincsproject.org/	http://www.lincsproject.org/	LINCS L1000 GTEx		cfde_subject_granularity:0	
GTEX-WOFM	http://www.lincsproject.org/	http://www.lincsproject.org/	LINCS L1000 GTEx		cfde_subject_granularity:0	
GTEX-Y5V6	http://www.lincsproject.org/	http://www.lincsproject.org/	LINCS L1000 GTEx		cfde_subject_granularity:0	
GTEX-X4LF	http://www.lincsproject.org/	http://www.lincsproject.org/	LINCS L1000 GTEx		cfde_subject_granularity:0	
GTEX-XXEK	http://www.lincsproject.org/	http://www.lincsproject.org/	LINCS L1000 GTEx		cfde_subject_granularity:0	
GTEX-SNOS	http://www.lincsproject.org/	http://www.lincsproject.org/	LINCS L1000 GTEx		cfde_subject_granularity:0	
GTEX-ZLFU	http://www.lincsproject.org/	http://www.lincsproject.org/	LINCS L1000 GTEx		cfde_subject_granularity:0	
GTEX-S32W	http://www.lincsproject.org/	http://www.lincsproject.org/	LINCS L1000 GTEx		cfde_subject_granularity:0	
GTEX-QDVN	http://www.lincsproject.org/	http://www.lincsproject.org/	LINCS L1000 GTEx		cfde_subject_granularity:0	
GTEX-XMD3	http://www.lincsproject.org/	http://www.lincsproject.org/	LINCS L1000 GTEx		cfde_subject_granularity:0	
GTEX-TML8	http://www.lincsproject.org/	http://www.lincsproject.org/	LINCS L1000 GTEx		cfde_subject_granularity:0	
GTEX-WEY5	http://www.lincsproject.org/	http://www.lincsproject.org/	LINCS L1000 GTEx		cfde_subject_granularity:0	
GTEX-X3Y1	http://www.lincsproject.org/	http://www.lincsproject.org/	LINCS L1000 GTEx		cfde_subject_granularity:0	
GTEX-XMD2	http://www.lincsproject.org/	http://www.lincsproject.org/	LINCS L1000 GTEx		cfde_subject_granularity:0	
GTEX-WHWD	http://www.lincsproject.org/	http://www.lincsproject.org/	LINCS L1000 GTEx		cfde_subject_granularity:0	
GTEX-PLZ5	http://www.lincsproject.org/	http://www.lincsproject.org/	LINCS L1000 GTEx		cfde_subject_granularity:0	
GTEX-ZC5H	http://www.lincsproject.org/	http://www.lincsproject.org/	LINCS L1000 GTEx		cfde_subject_granularity:0	
GTEX-OOBK	http://www.lincsproject.org/	http://www.lincsproject.org/	LINCS L1000 GTEx		cfde_subject_granularity:0	
GTEX-T6MO	http://www.lincsproject.org/	http://www.lincsproject.org/	LINCS L1000 GTEx		cfde_subject_granularity:0	
GTEX-NL4W	http://www.lincsproject.org/	http://www.lincsproject.org/	LINCS L1000 GTEx		cfde_subject_granularity:0	
GTEX-Q2AH	http://www.lincsproject.org/	http://www.lincsproject.org/	LINCS L1000 GTEx		cfde_subject_granularity:0	
GTEX-SSA3	http://www.lincsproject.org/	http://www.lincsproject.org/	LINCS L1000 GTEx		cfde_subject_granularity:0	
GTEX-S7PM	http://www.lincsproject.org/	http://www.lincsproject.org/	LINCS L1000 GTEx		cfde_subject_granularity:0	
GTEX-PLZ4	http://www.lincsproject.org/	http://www.lincsproject.org/	LINCS L1000 GTEx		cfde_subject_granularity:0	
GTEX-Y3IK	http://www.lincsproject.org/	http://www.lincsproject.org/	LINCS L1000 GTEx		cfde_subject_granularity:0	
