subject_id_namespace	subject_local_id	association_type	disease
https://www.lincsproject.org/	HEC251	cfde_disease_association_type:0	DOID:363
https://www.lincsproject.org/	HEC265	cfde_disease_association_type:0	DOID:363
https://www.lincsproject.org/	IGR37	cfde_disease_association_type:0	DOID:1909
https://www.lincsproject.org/	IM95	cfde_disease_association_type:0	DOID:3717
https://www.lincsproject.org/	JHH5	cfde_disease_association_type:0	DOID:305
https://www.lincsproject.org/	JHH7	cfde_disease_association_type:0	DOID:305
https://www.lincsproject.org/	LNCAP.FGC	cfde_disease_association_type:0	DOID:10286
https://www.lincsproject.org/	MDAMB468	cfde_disease_association_type:0	DOID:3459
https://www.lincsproject.org/	MELHO	cfde_disease_association_type:0	DOID:1909
https://www.lincsproject.org/	MKN45	cfde_disease_association_type:0	DOID:3717
https://www.lincsproject.org/	NCIH1437	cfde_disease_association_type:0	DOID:1324
https://www.lincsproject.org/	NCIH1573	cfde_disease_association_type:0	DOID:1324
https://www.lincsproject.org/	NCIH2110	cfde_disease_association_type:0	DOID:1324
https://www.lincsproject.org/	NCIH2172	cfde_disease_association_type:0	DOID:1324
https://www.lincsproject.org/	NCIH838	cfde_disease_association_type:0	DOID:1324
https://www.lincsproject.org/	NCIH841	cfde_disease_association_type:0	DOID:1324
https://www.lincsproject.org/	OAW28	cfde_disease_association_type:0	DOID:3605
https://www.lincsproject.org/	OC316	cfde_disease_association_type:0	DOID:3713
https://www.lincsproject.org/	OVK18	cfde_disease_association_type:0	DOID:4001
https://www.lincsproject.org/	OVTOKO	cfde_disease_association_type:0	DOID:3713
https://www.lincsproject.org/	RCC10RGB	cfde_disease_association_type:0	DOID:305
https://www.lincsproject.org/	SH4	cfde_disease_association_type:0	DOID:1909
https://www.lincsproject.org/	SKES1	cfde_disease_association_type:0	DOID:3247
https://www.lincsproject.org/	SKMEL3	cfde_disease_association_type:0	DOID:1909
https://www.lincsproject.org/	SNU407	cfde_disease_association_type:0	DOID:1520
https://www.lincsproject.org/	T47D	cfde_disease_association_type:0	DOID:3459
https://www.lincsproject.org/	TC32	cfde_disease_association_type:0	DOID:3247
https://www.lincsproject.org/	TOV112D	cfde_disease_association_type:0	DOID:363
https://www.lincsproject.org/	U251MG	cfde_disease_association_type:0	DOID:3069
https://www.lincsproject.org/	YH13	cfde_disease_association_type:0	DOID:3069
https://www.lincsproject.org/	ZR751	cfde_disease_association_type:0	DOID:3459
https://www.lincsproject.org/	MCF10A.TP53.M	cfde_disease_association_type:0	DOID:3459
https://www.lincsproject.org/	MCF10A.WT.HP	cfde_disease_association_type:0	DOID:3459
https://www.lincsproject.org/	DU145	cfde_disease_association_type:0	DOID:10286
https://www.lincsproject.org/	CW2	cfde_disease_association_type:0	DOID:1520
https://www.lincsproject.org/	MFE319	cfde_disease_association_type:0	DOID:363
https://www.lincsproject.org/	OC314	cfde_disease_association_type:0	DOID:4001
https://www.lincsproject.org/	VMCUB1	cfde_disease_association_type:0	DOID:4006
https://www.lincsproject.org/	5637	cfde_disease_association_type:0	DOID:4007
https://www.lincsproject.org/	AN3CA	cfde_disease_association_type:0	DOID:363
https://www.lincsproject.org/	HCC827	cfde_disease_association_type:0	DOID:1324
https://www.lincsproject.org/	J82	cfde_disease_association_type:0	DOID:4007
https://www.lincsproject.org/	LN229	cfde_disease_association_type:0	DOID:3069
https://www.lincsproject.org/	OVCAR8	cfde_disease_association_type:0	DOID:4001
https://www.lincsproject.org/	HCC44	cfde_disease_association_type:0	DOID:1324
https://www.lincsproject.org/	MCF10A.EGFR.HD	cfde_disease_association_type:0	DOID:3459
https://www.lincsproject.org/	MCF10A.EGFR.HL	cfde_disease_association_type:0	DOID:3459
https://www.lincsproject.org/	MCF10A.IDH1.HR	cfde_disease_association_type:0	DOID:3459
https://www.lincsproject.org/	MCF10A.PTEN.M	cfde_disease_association_type:0	DOID:3459
https://www.lincsproject.org/	MCF10A.WTHP	cfde_disease_association_type:0	DOID:3459
https://www.lincsproject.org/	MCF10A.WTLP.GM	cfde_disease_association_type:0	DOID:3459
https://www.lincsproject.org/	MCF10A.WTLP	cfde_disease_association_type:0	DOID:3459
https://www.lincsproject.org/	HCT116.TP53.HR	cfde_disease_association_type:0	DOID:1520
https://www.lincsproject.org/	HCT116.TP53.M	cfde_disease_association_type:0	DOID:1520
https://www.lincsproject.org/	HCT116.WT	cfde_disease_association_type:0	DOID:1520
https://www.lincsproject.org/	MCF10A.BRCA1.HD	cfde_disease_association_type:0	DOID:3459
https://www.lincsproject.org/	MCF10A.KRAS.HG	cfde_disease_association_type:0	DOID:3459
https://www.lincsproject.org/	MCF10A.TP53.M.EGFR.HL	cfde_disease_association_type:0	DOID:3459
https://www.lincsproject.org/	MCF10A.TP53.M.KRAS.HG	cfde_disease_association_type:0	DOID:3459
https://www.lincsproject.org/	MCF10A.PIK3CA.HH	cfde_disease_association_type:0	DOID:3459
https://www.lincsproject.org/	MCF10A.WT	cfde_disease_association_type:0	DOID:3459
https://www.lincsproject.org/	HUH751	cfde_disease_association_type:0	DOID:684
https://www.lincsproject.org/	HAP1.BRD4	cfde_disease_association_type:0	DOID:8552
https://www.lincsproject.org/	HAP1.CDK4	cfde_disease_association_type:0	DOID:8552
https://www.lincsproject.org/	HAP1.HDAC5	cfde_disease_association_type:0	DOID:8552
https://www.lincsproject.org/	HAP1.ITGA4	cfde_disease_association_type:0	DOID:8552
https://www.lincsproject.org/	HAP1.MAPK8	cfde_disease_association_type:0	DOID:8552
https://www.lincsproject.org/	HAP1.PIK3CA	cfde_disease_association_type:0	DOID:8552
https://www.lincsproject.org/	HAP1.PRKACA	cfde_disease_association_type:0	DOID:8552
https://www.lincsproject.org/	HAP1.PRKCQ	cfde_disease_association_type:0	DOID:8552
https://www.lincsproject.org/	HAP1.RELA	cfde_disease_association_type:0	DOID:8552
https://www.lincsproject.org/	HAP1.SRC	cfde_disease_association_type:0	DOID:8552
https://www.lincsproject.org/	HAP1.TP53	cfde_disease_association_type:0	DOID:8552
https://www.lincsproject.org/	HAP1	cfde_disease_association_type:0	DOID:8552
https://www.lincsproject.org/	DLD1	cfde_disease_association_type:0	DOID:1520
https://www.lincsproject.org/	SALE	cfde_disease_association_type:0	DOID:1324
https://www.lincsproject.org/	SKNSH	cfde_disease_association_type:0	DOID:769
https://www.lincsproject.org/	AGS.311	cfde_disease_association_type:0	DOID:3717
https://www.lincsproject.org/	BICR6.311	cfde_disease_association_type:0	DOID:305
https://www.lincsproject.org/	ES2.311	cfde_disease_association_type:0	DOID:4001
https://www.lincsproject.org/	PC3.311B	cfde_disease_association_type:0	DOID:2526
https://www.lincsproject.org/	U251MG.311	cfde_disease_association_type:0	DOID:3069
https://www.lincsproject.org/	DANG.311	cfde_disease_association_type:0	DOID:4074
https://www.lincsproject.org/	HCC1806.311	cfde_disease_association_type:0	DOID:3459
https://www.lincsproject.org/	HS944T.311	cfde_disease_association_type:0	DOID:1909
https://www.lincsproject.org/	IPC298.311	cfde_disease_association_type:0	DOID:1909
https://www.lincsproject.org/	KELLY.311	cfde_disease_association_type:0	DOID:769
https://www.lincsproject.org/	KYSE30.311	cfde_disease_association_type:0	DOID:1107
https://www.lincsproject.org/	LCLC103H.311	cfde_disease_association_type:0	DOID:1324
https://www.lincsproject.org/	SNGM.311	cfde_disease_association_type:0	DOID:363
https://www.lincsproject.org/	SNU761.311	cfde_disease_association_type:0	DOID:684
https://www.lincsproject.org/	TF1	cfde_disease_association_type:0	DOID:1240
